Risk Title,Risk Statement/Description,Risk Level (Inherent),Primary Control Type,Primary Control Description,Secondary Control Type,Secondary Control Description
Pilot Program Scaling Failure,Risk of successful pilot programs failing when scaled to full implementation due to unforeseen challenges.,High,Preventive,Risk register maintained for all programs with regular review and mitigation plan updates.,Corrective,Rebaselining procedures for programs with significant schedule or cost variances exceeding established thresholds.
Grant Closeout Delay,"Risk of grants not being closed out timely, leaving funds in limbo and complicating financial reporting.",Medium,Preventive,"Grant terms and conditions clearly defining allowable costs, reporting requirements, and performance expectations.",Preventive,"New grant recipient orientation providing training on federal requirements, reporting, and financial management."
Contaminated Site Oversight,Risk of inadequate monitoring of contaminated sites leading to undetected spread of pollutants.,High,Preventive,Compliance assistance programs providing technical guidance and self-audit protocols to regulated facilities.,Preventive,Technical assistance workshops for small businesses and municipalities on meeting environmental requirements.
Budget Overrun,"Risk that program expenditures exceed the allocated budget, leading to funding shortfalls and operational disruptions.",High,Preventive,"Automated duplicate payment detection system that flags matching amounts, vendors, and invoice numbers.",Corrective,Debt collection procedures for recovering overpayments including installment agreements and wage garnishment.
Data Breach,Risk of unauthorized access to sensitive agency data including personally identifiable information and financial records.,High,Corrective,"Incident response plan with defined escalation procedures, communication protocols, and recovery time objectives.",Corrective,Forensic investigation capability for analyzing compromised systems and determining breach scope and impact.
Performance Report Falsification,Risk of grant recipients submitting inaccurate performance reports to continue receiving funding.,Low,Preventive,"Grant terms and conditions clearly defining allowable costs, reporting requirements, and performance expectations.",Preventive,"New grant recipient orientation providing training on federal requirements, reporting, and financial management."
Grant Application Fraud,Risk of applicants submitting false information in grant applications to obtain funding.,High,Preventive,Subrecipient monitoring requirements included in grant agreements with pass-through entity responsibilities defined.,Preventive,"Equipment management clauses in grant agreements specifying tracking, use, and disposition requirements."
Program Income Mismanagement,Risk of grant recipients failing to properly account for and use income generated by grant-funded activities.,Medium,Detective,Quarterly financial and performance report review with desk audits and follow-up on identified discrepancies.,Corrective,Grant suspension and termination procedures for recipients with unresolved compliance deficiencies.
Third-Party Software Vulnerability,Risk of security vulnerabilities in vendor-supplied software being exploited by threat actors.,Critical,Preventive,Zero trust architecture requiring continuous verification of user identity and device health for resource access.,Preventive,Security awareness training for all employees with simulated phishing exercises and tracked completion rates.
Building Systems Failure,"Risk of HVAC, electrical, or plumbing system failures disrupting facility operations.",Critical,Preventive,Mandatory safety training for all laboratory personnel with hazard-specific modules and practical demonstrations.,Preventive,"New employee safety orientation covering facility-specific hazards, emergency procedures, and reporting requirements."
Imprest Fund Mismanagement,Risk of loss or misuse of petty cash or imprest funds maintained at field offices.,Medium,Preventive,Mandatory cost-benefit analysis and approval documentation required before committing funds to new obligations.,Detective,Automated exception reporting flagging transactions that deviate from established patterns or exceed threshold amounts.
Data Sharing Agreement Gap,"Risk of sharing data with external parties without proper agreements defining use, protection, and retention.",Low,Preventive,"Data sharing agreements template with mandatory security, use limitation, and disposition clauses.",Detective,Automated anomaly detection algorithms monitoring data streams for unexpected patterns or values.
Union Grievance Escalation,"Risk of unresolved employee grievances escalating to formal proceedings, consuming management resources.",Medium,Preventive,Conflict of interest disclosure requirements for all employees with annual certification and review.,Detective,Exit interview program analyzing departure reasons to identify systemic retention issues.
Program Income Mismanagement,Risk of grant recipients failing to properly account for and use income generated by grant-funded activities.,Medium,Detective,Single audit review process tracking findings related to agency grants with resolution follow-up.,Detective,Comparison of grant-reported outcomes with independent environmental monitoring data for verification.
Cross-Program Coordination Gap,Risk of insufficient coordination between related programs leading to duplicated efforts or conflicting activities.,Medium,Detective,Annual program evaluation using logic models and outcome measurement frameworks to assess effectiveness.,Detective,Independent program reviews conducted by cross-functional teams assessing program health and risk exposure.
Performance Management Inconsistency,"Risk of inconsistent application of performance standards across offices, creating equity concerns.",High,Corrective,Employee assistance program providing confidential counseling and support services for workplace and personal issues.,Corrective,Reasonable accommodation process ensuring timely and effective responses to employee disability accommodation requests.
Occupational Health Exposure,Risk of employees being exposed to harmful substances during the course of their duties.,High,Detective,Video surveillance systems monitored at security operations centers covering facility perimeters and sensitive areas.,Corrective,Hazard abatement tracking system ensuring identified safety hazards are corrected within established timeframes.
Green Procurement Non-Compliance,Risk of failing to meet sustainable acquisition requirements for environmentally preferable products.,Medium,Detective,Invoice audit program sampling contractor billing submissions for accuracy and compliance with cost principles.,Detective,Contract file reviews by procurement management ensuring documentation completeness and regulatory compliance.
Fleet Management Inefficiency,Risk of inefficient vehicle fleet management resulting in excess costs and underutilized assets.,Critical,Corrective,Corrective maintenance priority system ensuring critical equipment failures are addressed within defined response times.,Preventive,Strategic sourcing initiatives establishing blanket purchase agreements for frequently needed materials and services.
Performance Management Inconsistency,"Risk of inconsistent application of performance standards across offices, creating equity concerns.",High,Preventive,Conflict of interest disclosure requirements for all employees with annual certification and review.,Detective,Exit interview program analyzing departure reasons to identify systemic retention issues.
Database Integrity Compromise,Risk of unauthorized modification or corruption of database records affecting data reliability.,High,Preventive,Automated patch management system ensuring critical security updates are applied within 48 hours of release.,Preventive,Change management process requiring security impact analysis before system modifications are deployed.
Revenue Leakage,"Risk of undetected loss of expected revenue due to billing errors, uncollected fees, or missed receivables.",Medium,Detective,Quarterly internal audit sampling of financial transactions to identify anomalies and non-compliant payments.,Detective,Surprise cash counts and imprest fund audits conducted by supervisory staff at field locations.
Data Breach,Risk of unauthorized access to sensitive agency data including personally identifiable information and financial records.,High,Preventive,Endpoint detection and response agents deployed on all agency workstations and servers with centralized management.,Corrective,Security incident lessons learned reviews with system hardening updates based on identified attack vectors.
Telework Policy Abuse,Risk of employees not meeting productivity expectations while working remotely due to inadequate oversight.,Low,Detective,Quarterly review of telework agreements and productivity metrics to ensure remote work effectiveness.,Detective,Periodic review of position descriptions to ensure they accurately reflect current duties and qualifications.
Data Quality Degradation,Risk of data accuracy and completeness declining over time due to inadequate validation and maintenance processes.,High,Detective,Annual data inventory review to verify classification levels and protection measures are appropriate.,Corrective,"Data correction procedures with audit trail documenting original values, corrections, and authorizing officials."
Data Sharing Agreement Gap,"Risk of sharing data with external parties without proper agreements defining use, protection, and retention.",Low,Detective,"Automated data quality dashboards monitoring key data elements for accuracy, timeliness, and completeness metrics.",Preventive,Information classification guide with clear criteria and examples for each sensitivity level.
PFAS Contamination Spread,Risk of per- and polyfluoroalkyl substances spreading through groundwater to drinking water supplies.,High,Corrective,Graduated enforcement response policy with escalating penalties for repeated violations and compliance milestones.,Corrective,Penalty policy ensuring consistent and proportionate enforcement responses across all regional offices.
FOIA Response Delay,Risk of failing to respond to Freedom of Information Act requests within statutory timeframes.,Medium,Preventive,Automated PII scanning tools deployed on email systems and shared drives to detect and flag exposed PII.,Preventive,Data stewardship program assigning accountability for data quality to designated owners across the agency.
Ergonomic Injury,Risk of musculoskeletal injuries from poor workstation setup or repetitive tasks in office environments.,Medium,Preventive,Mandatory safety training for all laboratory personnel with hazard-specific modules and practical demonstrations.,Preventive,"New employee safety orientation covering facility-specific hazards, emergency procedures, and reporting requirements."
Training Compliance Gap,"Risk that employees do not complete required training, leaving them unprepared for their responsibilities.",Medium,Preventive,Conflict of interest disclosure requirements for all employees with annual certification and review.,Detective,Exit interview program analyzing departure reasons to identify systemic retention issues.
API Security Weakness,Risk of application programming interfaces being exploited due to inadequate authentication or input validation.,High,Preventive,Network segmentation isolating sensitive systems and data from general-purpose network segments.,,
Fee Collection Deficiency,Risk that fees for services or permits are not collected timely or in the correct amounts.,Medium,Preventive,"Segregation of duties requiring dual authorization for all fund transfers exceeding $10,000 with documented approval chains.",Detective,Independent periodic testing of key financial controls by internal audit or quality assurance staff.
API Security Weakness,Risk of application programming interfaces being exploited due to inadequate authentication or input validation.,High,Preventive,Zero trust architecture requiring continuous verification of user identity and device health for resource access.,Preventive,Security awareness training for all employees with simulated phishing exercises and tracked completion rates.
Procurement Fraud,Risk of fraudulent activities during the procurement process including kickbacks and falsified proposals.,Low,Detective,Data analytics applied to procurement data to identify patterns indicative of bid rigging or collusion.,Detective,Quarterly contract status reporting to management highlighting expiring contracts and renewal timelines.
Employee Misconduct,Risk of employees engaging in unethical or illegal behavior that damages agency credibility and operations.,Low,Corrective,Employee assistance program providing confidential counseling and support services for workplace and personal issues.,Corrective,Reasonable accommodation process ensuring timely and effective responses to employee disability accommodation requests.
Improper Payment Processing,"Risk of payments being processed incorrectly, resulting in overpayments, underpayments, or duplicate payments.",Medium,Detective,Monthly reconciliation of accounts payable and receivable with independent verification of transaction accuracy.,Detective,"Trend analysis of payment data to identify emerging patterns of waste, fraud, or abuse."
Unliquidated Obligations,"Risk of obligations remaining open beyond the period of performance, tying up funds that could be used elsewhere.",High,Preventive,Automated budget threshold monitoring with real-time alerts when spending reaches 80% and 95% of allocated amounts.,Corrective,Formal corrective action process for employees found to have violated financial management policies.
Interagency Agreement Disputes,Risk of financial disagreements arising from interagency service agreements and reimbursable work authorizations.,Medium,Preventive,Mandatory cost-benefit analysis and approval documentation required before committing funds to new obligations.,Detective,Automated exception reporting flagging transactions that deviate from established patterns or exceed threshold amounts.
Laboratory Safety Incident,"Risk of accidents in agency laboratories involving chemical, biological, or radiological materials.",High,Preventive,Controlled substance inventory management with dual-custody requirements and daily reconciliation.,Detective,Security audit program with periodic assessments of physical security measures and vulnerability identification.
Anti-Deficiency Act Violation,"Risk of obligating or expending funds in excess of or in advance of appropriations, violating federal law.",Medium,Preventive,Congressional correspondence tracking with assigned response deadlines and management review before submission.,Preventive,Tribal consultation protocols ensuring government-to-government engagement on regulatory actions affecting tribal interests.
Fleet Management Inefficiency,Risk of inefficient vehicle fleet management resulting in excess costs and underutilized assets.,Critical,Detective,"Fleet management system tracking vehicle maintenance schedules, fuel consumption, and utilization rates.",Detective,Space utilization studies measuring actual occupancy against allocated space to optimize facility footprint.
Task Order Scope Creep,Risk of work under task orders expanding beyond the original scope without proper authorization.,Medium,Preventive,Organizational conflict of interest clauses included in all advisory and assistance services contracts.,Preventive,Market research documentation demonstrating awareness of available sources and price reasonableness.
Shadow IT Usage,Risk of employees using unauthorized software or cloud services that bypass security controls.,Medium,Preventive,Multi-factor authentication required for all system access with role-based access control enforced at the application level.,Detective,Database activity monitoring logging all privileged user actions with automated alerts for suspicious queries.
Contract Cost Overrun,Risk that contractor costs exceed negotiated contract amounts without proper justification or modification.,High,Corrective,Established procedures for recovering improper payments including demand letters and offset mechanisms.,Preventive,Annual certification by managers that all obligations under their authority are valid and necessary.
Consent Decree Non-Compliance,Risk of failing to meet obligations specified in court-ordered consent decrees from settled cases.,Critical,Preventive,Annual ethics training with financial disclosure review for all employees in covered positions.,Detective,Ethics hotline providing confidential reporting channel for suspected ethics violations.
Union Grievance Escalation,"Risk of unresolved employee grievances escalating to formal proceedings, consuming management resources.",Medium,Preventive,Structured hiring panels with standardized evaluation criteria and documented scoring to ensure consistent selection.,Corrective,Return-to-work program supporting employees transitioning back after extended leave or medical absence.
Phishing Attack,Risk of employees falling victim to fraudulent emails designed to steal credentials or install malware.,Low,Detective,Continuous monitoring of network traffic using intrusion detection systems with automated alerting for anomalous activity.,Corrective,Backup and recovery testing performed quarterly with documented recovery time and data integrity verification.
Mobile Device Security Gap,"Risk of data exposure through lost, stolen, or inadequately secured mobile devices used for agency business.",Medium,Corrective,"Incident response plan with defined escalation procedures, communication protocols, and recovery time objectives.",Corrective,Forensic investigation capability for analyzing compromised systems and determining breach scope and impact.
Facility Maintenance Backlog,Risk of deferred maintenance creating safety hazards and increasing long-term repair costs.,High,Corrective,"Asset disposal procedures ensuring proper environmental review, data sanitization, and regulatory compliance.",Preventive,Continuity supply inventories maintained with regular rotation to ensure freshness and availability.
Data Sharing Agreement Gap,"Risk of sharing data with external parties without proper agreements defining use, protection, and retention.",Low,Preventive,Role-based data access controls with annual recertification of user permissions by data owners.,Corrective,Identity theft response procedures for individuals affected by agency data breaches.
System Downtime,"Risk of critical IT systems becoming unavailable, disrupting agency operations and service delivery.",High,Preventive,Data encryption at rest and in transit using FIPS 140-2 validated cryptographic modules for all sensitive data.,Detective,Dark web monitoring for leaked agency credentials or data with immediate password reset procedures.
Interagency Collaboration Breakdown,Risk of failed coordination with partner agencies undermining joint program objectives.,Medium,Detective,"Monthly program status reviews with executive dashboard reporting on milestones, risks, and resource utilization.",Corrective,Program restructuring procedures for consolidating or reorganizing programs that are not achieving intended results.
Inspector General Finding,Risk of adverse findings from OIG audits identifying material weaknesses in agency programs.,Medium,Preventive,Anti-Deficiency Act training required for all fund certifying officials with annual certification.,Preventive,Delegation of authority register ensuring all regulatory and enforcement actions are taken by properly authorized officials.
Critical Spare Parts Shortage,Risk of unavailability of replacement parts for specialized equipment causing extended downtime.,Low,Detective,Annual physical inventory counts reconciled with system records and discrepancies investigated and resolved.,,
Burnout and Attrition,Risk of high employee burnout leading to increased turnover and reduced organizational effectiveness.,Medium,Detective,Quarterly review of telework agreements and productivity metrics to ensure remote work effectiveness.,Detective,Periodic review of position descriptions to ensure they accurately reflect current duties and qualifications.
API Security Weakness,Risk of application programming interfaces being exploited due to inadequate authentication or input validation.,High,Corrective,"Incident response plan with defined escalation procedures, communication protocols, and recovery time objectives.",Corrective,Forensic investigation capability for analyzing compromised systems and determining breach scope and impact.
Anti-Deficiency Act Violation,"Risk of obligating or expending funds in excess of or in advance of appropriations, violating federal law.",Medium,Detective,"Litigation tracking system monitoring case status, deadlines, and potential financial exposure across all active cases.",Preventive,Legal hold procedures preserving documents and electronic records when litigation is reasonably anticipated.
Building Systems Failure,"Risk of HVAC, electrical, or plumbing system failures disrupting facility operations.",Critical,Preventive,"Physical access control systems with badge readers, visitor logs, and security personnel at all facility entry points.",Detective,Chemical hygiene plan compliance audits verifying laboratory safety practices and documentation.
Inspector General Finding,Risk of adverse findings from OIG audits identifying material weaknesses in agency programs.,Medium,Detective,OIG recommendation tracking system with quarterly status updates and escalation for overdue corrective actions.,,
Facility Access Breach,Risk of unauthorized individuals gaining physical access to secure agency facilities or laboratories.,High,Corrective,Workers compensation case management program ensuring injured employees receive proper medical care and return-to-work support.,Preventive,Threat assessment protocols for evaluating reported threats to facilities or personnel.
Imprest Fund Mismanagement,Risk of loss or misuse of petty cash or imprest funds maintained at field offices.,Medium,Detective,Quarterly internal audit sampling of financial transactions to identify anomalies and non-compliant payments.,Detective,Surprise cash counts and imprest fund audits conducted by supervisory staff at field locations.
Records Retention Violation,Risk of improper destruction or failure to retain records in accordance with approved retention schedules.,High,Preventive,Role-based data access controls with annual recertification of user permissions by data owners.,Corrective,Identity theft response procedures for individuals affected by agency data breaches.
Data Breach,Risk of unauthorized access to sensitive agency data including personally identifiable information and financial records.,High,Detective,Continuous monitoring of network traffic using intrusion detection systems with automated alerting for anomalous activity.,Corrective,Backup and recovery testing performed quarterly with documented recovery time and data integrity verification.
Metadata Management Failure,"Risk of poor metadata practices making data difficult to discover, understand, or reuse across the agency.",Low,Detective,"Automated data quality dashboards monitoring key data elements for accuracy, timeliness, and completeness metrics.",Preventive,Information classification guide with clear criteria and examples for each sensitivity level.
Ergonomic Injury,Risk of musculoskeletal injuries from poor workstation setup or repetitive tasks in office environments.,Medium,Corrective,"Incident investigation procedures with root cause analysis, corrective actions, and follow-up verification.",Detective,Injury and illness trend analysis identifying patterns that indicate systemic safety program weaknesses.
Laboratory Safety Incident,"Risk of accidents in agency laboratories involving chemical, biological, or radiological materials.",High,Corrective,Workers compensation case management program ensuring injured employees receive proper medical care and return-to-work support.,Preventive,Threat assessment protocols for evaluating reported threats to facilities or personnel.
Green Procurement Non-Compliance,Risk of failing to meet sustainable acquisition requirements for environmentally preferable products.,Medium,Preventive,Independent cost estimates prepared before solicitation to establish price reasonableness benchmarks.,Detective,"Spend analysis tools identifying purchasing patterns, maverick spending, and consolidation opportunities."
Environmental Justice Failure,Risk of disproportionate environmental impacts on disadvantaged communities due to inadequate policy consideration.,Critical,Detective,Water quality monitoring network with automated sampling and laboratory analysis at key watershed points.,Detective,Environmental indicator tracking dashboards measuring progress toward national environmental and human health goals.
PII Exposure in Reports,Risk of personally identifiable information being inadvertently included in published reports or datasets.,High,Detective,Quarterly FOIA response time tracking with escalation procedures for overdue requests.,Detective,Cross-system reconciliation reports comparing shared data elements between authoritative sources.
Climate Adaptation Failure,Risk that agency programs fail to adequately account for climate change impacts in planning and operations.,High,Preventive,Pre-permit review process with technical evaluation of applicant compliance history and operational capabilities.,Preventive,Public notification requirements for permit applications ensuring community awareness and participation opportunities.
Anti-Deficiency Act Violation,"Risk of obligating or expending funds in excess of or in advance of appropriations, violating federal law.",Medium,Corrective,Alternative dispute resolution program offering mediation and negotiation before formal adjudication.,Corrective,Regulatory guidance issuance process clarifying ambiguous requirements based on stakeholder feedback and enforcement experience.
Data Classification Error,"Risk of sensitive data being improperly classified, leading to inadequate protection measures.",Medium,Preventive,Privacy impact assessments required before implementing new data collections or system changes involving PII.,Detective,Automated records retention monitoring with alerts for records approaching disposition dates.
Open Data Compliance Gap,Risk of failing to publish required datasets in accordance with open data mandates and policies.,Medium,Preventive,"Data sharing agreements template with mandatory security, use limitation, and disposition clauses.",Detective,Automated anomaly detection algorithms monitoring data streams for unexpected patterns or values.
Resource Allocation Imbalance,"Risk of uneven distribution of resources across programs, leaving critical areas understaffed or underfunded.",High,Corrective,After-action reviews conducted at project completion with documented lessons learned and improvement recommendations.,Preventive,Standard operating procedures documented and maintained for all recurring program activities.
Procurement Fraud,Risk of fraudulent activities during the procurement process including kickbacks and falsified proposals.,Low,Preventive,Organizational conflict of interest clauses included in all advisory and assistance services contracts.,Preventive,Market research documentation demonstrating awareness of available sources and price reasonableness.
Insufficient Access Controls,"Risk that user access permissions are overly broad, granting access beyond what is needed for job functions.",Medium,Preventive,Network segmentation isolating sensitive systems and data from general-purpose network segments.,Detective,User behavior analytics establishing baselines and detecting anomalous access patterns or data exfiltration.
Anti-Deficiency Act Violation,"Risk of obligating or expending funds in excess of or in advance of appropriations, violating federal law.",Medium,Corrective,Post-decision review process analyzing outcomes of challenged enforcement actions to improve future case development.,Corrective,Regulatory amendment process for updating rules when implementation reveals unintended consequences.
Grant Recipient Capacity Gap,Risk of awarding grants to organizations that lack the capacity to manage federal funds properly.,High,Corrective,Grant recipient corrective action plans with milestone tracking for resolving compliance deficiencies.,Corrective,Voluntary cost disallowance process allowing recipients to return questioned costs before formal audit findings.
Bid Rigging,Risk of collusion among potential contractors to manipulate the competitive bidding process.,Medium,Preventive,Acquisition planning process requiring advance procurement schedules to prevent emergency or expedited actions.,Corrective,Cure notice and show cause procedures for addressing contractor performance deficiencies before termination.
Data Sharing Agreement Gap,"Risk of sharing data with external parties without proper agreements defining use, protection, and retention.",Low,Corrective,"Data breach response procedures with notification timelines, affected party communication, and remediation steps.",Corrective,Data quality improvement projects targeting specific data elements with highest error rates.
Regulatory Interpretation Error,Risk of inconsistent or incorrect interpretation of regulations leading to improper enforcement actions.,High,Detective,"Litigation tracking system monitoring case status, deadlines, and potential financial exposure across all active cases.",Preventive,Legal hold procedures preserving documents and electronic records when litigation is reasonably anticipated.
Settlement Agreement Default,"Risk of parties defaulting on settlement agreement terms, requiring renewed enforcement action.",Medium,Preventive,Consent decree compliance monitoring with dedicated staff and periodic self-assessments of obligation fulfillment.,Detective,Legal risk assessment quarterly briefings to senior management on significant pending cases and regulatory challenges.
Pesticide Misapplication,"Risk of pesticides being applied in ways inconsistent with label directions, harming non-target species.",Medium,Preventive,Risk-based inspection scheduling prioritizing facilities with history of violations and those in environmental justice areas.,Detective,Remote sensing and drone technology for monitoring difficult-to-access sites and large geographic areas.
Stakeholder Engagement Failure,"Risk of inadequate engagement with stakeholders leading to opposition, misunderstanding, or lack of support.",High,Preventive,Earned value management system tracking schedule and cost performance indices for all major projects.,Detective,Customer satisfaction surveys measuring stakeholder perception of program quality and responsiveness.
Warehouse Security Gap,Risk of theft or damage to stored equipment and supplies due to inadequate warehouse security.,Medium,Preventive,Environmental management system certified to ISO 14001 for agency facility operations and waste management.,Corrective,Equipment lifecycle replacement planning ensuring timely modernization before failure and obsolescence.
Permit Violation,"Risk that regulated entities operate in violation of issued environmental permits, causing environmental harm.",High,Detective,Continuous emission monitoring systems with automated reporting and threshold exceedance notifications.,Corrective,Emergency response cleanup coordination with responsible parties and federal on-scene coordinators.
Telecommunications Redundancy Gap,Risk of single points of failure in agency telecommunications infrastructure.,High,Corrective,Corrective maintenance priority system ensuring critical equipment failures are addressed within defined response times.,,
Procurement Card Misuse,Risk of government purchase cards being used for personal purchases or unauthorized transactions.,Critical,Detective,Annual risk-based review of high-dollar contracts and grants to verify compliance with financial terms.,Corrective,Management review and approval of all reconciliation exceptions with documented resolution within 30 days.
Cost Allocation Errors,"Risk of incorrect allocation of shared costs across programs, leading to misrepresentation of program expenses.",Low,Corrective,Established procedures for recovering improper payments including demand letters and offset mechanisms.,Preventive,Annual certification by managers that all obligations under their authority are valid and necessary.
Vehicle Fleet Safety,Risk of accidents involving agency vehicles due to inadequate maintenance or driver training.,Low,Detective,Occupational health monitoring program with periodic medical surveillance for employees with exposure risks.,Corrective,After-action reports for all security incidents with root cause analysis and preventive recommendations.
Occupational Health Exposure,Risk of employees being exposed to harmful substances during the course of their duties.,High,Preventive,Mandatory safety training for all laboratory personnel with hazard-specific modules and practical demonstrations.,Preventive,"New employee safety orientation covering facility-specific hazards, emergency procedures, and reporting requirements."
Facility Maintenance Backlog,Risk of deferred maintenance creating safety hazards and increasing long-term repair costs.,High,Preventive,Incoming inspection procedures verifying material specifications and authenticity before acceptance into inventory.,Preventive,"Green purchasing requirements ensuring compliance with recycled content, energy efficiency, and biobased mandates."
Cross-System Data Mismatch,Risk of the same data element having different values across integrated systems due to sync failures.,Medium,Preventive,Privacy impact assessments required before implementing new data collections or system changes involving PII.,Detective,Automated records retention monitoring with alerts for records approaching disposition dates.
Single Audit Finding,Risk of significant findings in grant recipient single audits indicating systemic financial management issues.,Medium,Detective,Single audit review process tracking findings related to agency grants with resolution follow-up.,Detective,Comparison of grant-reported outcomes with independent environmental monitoring data for verification.
Regulatory Interpretation Error,Risk of inconsistent or incorrect interpretation of regulations leading to improper enforcement actions.,High,Preventive,"Legal sufficiency review required for all proposed enforcement actions, settlements, and regulatory interpretations.",Detective,"Compliance tracking database monitoring agency adherence to consent decrees, court orders, and settlement terms."
Interagency Collaboration Breakdown,Risk of failed coordination with partner agencies undermining joint program objectives.,Medium,Preventive,Risk register maintained for all programs with regular review and mitigation plan updates.,Corrective,Rebaselining procedures for programs with significant schedule or cost variances exceeding established thresholds.
Knowledge Management Gap,Risk of institutional knowledge being lost when experienced staff depart without proper documentation.,Critical,Preventive,Stakeholder engagement plans developed during project initiation with regular feedback mechanisms and communication schedules.,,
Ransomware Attack,"Risk of malicious software encrypting agency data and systems, demanding payment for restoration.",Medium,Detective,Continuous monitoring of network traffic using intrusion detection systems with automated alerting for anomalous activity.,Corrective,Backup and recovery testing performed quarterly with documented recovery time and data integrity verification.
Climate Adaptation Failure,Risk that agency programs fail to adequately account for climate change impacts in planning and operations.,High,Preventive,Risk-based inspection scheduling prioritizing facilities with history of violations and those in environmental justice areas.,,
Lessons Learned Neglect,"Risk of failing to capture and apply lessons learned from past projects, repeating avoidable mistakes.",High,Corrective,Corrective action plans developed for programs not meeting performance targets with milestone tracking.,Preventive,"Requirements management process ensuring changes are documented, evaluated, and approved before implementation."
Subrecipient Monitoring Failure,Risk of grant recipients failing to adequately monitor and oversee their subrecipients' use of funds.,High,Preventive,"Pre-award risk assessment evaluating applicant financial management systems, past performance, and organizational capacity.",Detective,Data analytics applied to grant expenditure data to identify unusual spending patterns across the portfolio.
Statistical Methodology Error,"Risk of using inappropriate statistical methods in analyses, leading to incorrect scientific or policy conclusions.",Medium,Preventive,Role-based data access controls with annual recertification of user permissions by data owners.,Corrective,Identity theft response procedures for individuals affected by agency data breaches.
Workplace Violence,"Risk of violent incidents occurring at agency facilities, endangering employee safety.",Medium,Corrective,"Incident investigation procedures with root cause analysis, corrective actions, and follow-up verification.",Detective,Injury and illness trend analysis identifying patterns that indicate systemic safety program weaknesses.
Insufficient Access Controls,"Risk that user access permissions are overly broad, granting access beyond what is needed for job functions.",Medium,Detective,Continuous monitoring of network traffic using intrusion detection systems with automated alerting for anomalous activity.,Corrective,Backup and recovery testing performed quarterly with documented recovery time and data integrity verification.
Network Intrusion,Risk of external threat actors gaining unauthorized access to the agency network through exploited vulnerabilities.,Medium,Preventive,Data encryption at rest and in transit using FIPS 140-2 validated cryptographic modules for all sensitive data.,Detective,Dark web monitoring for leaked agency credentials or data with immediate password reset procedures.
Critical Spare Parts Shortage,Risk of unavailability of replacement parts for specialized equipment causing extended downtime.,Low,Preventive,Emergency supply pre-positioning at regional locations to support continuity of operations activations.,Detective,Energy audit program identifying opportunities for cost savings and efficiency improvements in facility operations.
Procurement Card Misuse,Risk of government purchase cards being used for personal purchases or unauthorized transactions.,Critical,Preventive,"Segregation of duties requiring dual authorization for all fund transfers exceeding $10,000 with documented approval chains.",Detective,Independent periodic testing of key financial controls by internal audit or quality assurance staff.
Reporting Deadline Non-Compliance,"Risk of missing statutory or regulatory reporting deadlines, resulting in oversight findings.",Medium,Detective,"Monthly program status reviews with executive dashboard reporting on milestones, risks, and resource utilization.",Corrective,Program restructuring procedures for consolidating or reorganizing programs that are not achieving intended results.
FOIA Response Delay,Risk of failing to respond to Freedom of Information Act requests within statutory timeframes.,Medium,Detective,"Automated data quality dashboards monitoring key data elements for accuracy, timeliness, and completeness metrics.",Preventive,Information classification guide with clear criteria and examples for each sensitivity level.
Procurement Fraud,Risk of fraudulent activities during the procurement process including kickbacks and falsified proposals.,Low,Preventive,Independent cost estimates prepared before solicitation to establish price reasonableness benchmarks.,Detective,"Spend analysis tools identifying purchasing patterns, maverick spending, and consolidation opportunities."
Asbestos and Lead Exposure,Risk of employee exposure to asbestos or lead-based paint in older agency-owned or leased facilities.,Medium,Detective,Video surveillance systems monitored at security operations centers covering facility perimeters and sensitive areas.,Corrective,Hazard abatement tracking system ensuring identified safety hazards are corrected within established timeframes.
Regulatory Overlap Confusion,Risk of overlapping regulations across programs creating compliance burdens and enforcement inconsistencies.,High,Preventive,"Legal sufficiency review required for all proposed enforcement actions, settlements, and regulatory interpretations.",Detective,"Compliance tracking database monitoring agency adherence to consent decrees, court orders, and settlement terms."
Data Breach,Risk of unauthorized access to sensitive agency data including personally identifiable information and financial records.,High,Preventive,Data encryption at rest and in transit using FIPS 140-2 validated cryptographic modules for all sensitive data.,Detective,Dark web monitoring for leaked agency credentials or data with immediate password reset procedures.
Workplace Harassment,Risk of harassment or hostile work environment claims disrupting operations and damaging agency reputation.,High,Preventive,Mandatory anti-harassment training for all employees with annual refresher courses and manager-specific modules.,,
System Downtime,"Risk of critical IT systems becoming unavailable, disrupting agency operations and service delivery.",High,Detective,Continuous monitoring of network traffic using intrusion detection systems with automated alerting for anomalous activity.,,
Unauthorized Commitment,Risk of employees making commitments or agreements with vendors without proper contracting authority.,High,Detective,Invoice audit program sampling contractor billing submissions for accuracy and compliance with cost principles.,,
Cost Allocation Errors,"Risk of incorrect allocation of shared costs across programs, leading to misrepresentation of program expenses.",Low,Preventive,Mandatory cost-benefit analysis and approval documentation required before committing funds to new obligations.,Detective,Automated exception reporting flagging transactions that deviate from established patterns or exceed threshold amounts.
Consent Decree Non-Compliance,Risk of failing to meet obligations specified in court-ordered consent decrees from settled cases.,Critical,Preventive,Congressional correspondence tracking with assigned response deadlines and management review before submission.,Preventive,Tribal consultation protocols ensuring government-to-government engagement on regulatory actions affecting tribal interests.
Cloud Migration Data Loss,Risk of data corruption or loss during migration of applications and data from on-premise to cloud environments.,Medium,Preventive,Multi-factor authentication required for all system access with role-based access control enforced at the application level.,Detective,Database activity monitoring logging all privileged user actions with automated alerts for suspicious queries.
